Sr.No,Movie_name,Lead_actor,Lead_actress,Year_of_release,Director_name
1,Dangal,Amir Khan,Fatima Sana Sheikh,2016,Nitesh Tiwari
2,Bajirao Mastani,Ranveer Singh,Deepika Padukone,2015,Sanjay Leela Bhansali
3,Artical-15,Ayushman Khuranna,Isha Talwar,2019,Anubhav Sinha
4,Padman,Akshay Kumar,Radhika Apte,2018,R. Balki
5,Andhadhun,Ayushman Khuranna,Radhika Apte,2018,Sriram Raghavn
6,Neerja,Jim Sarbh,Sonam Kapoor,2016,Ram Madhvani
7,Wazir,Farhan Akhtar,Aditi Rao Haideri,2016,Bejoy Nambair
8,Raazi,Vicky Kaushal,Alia Bhatt,2018,Meghna Gulzar
9,Jolly LLB 2,Akshay Kumar,Huma Qureshi,2017,Shubhas Kapoor
10,2 States,Arjun Kapoor,Alia Bhatt,2014,Abhishek Varman
11,Sui Bhaga,Varun Dhavan,Anushka Sharma,2018,Sharat Katariya
12,Panga,Jassi Gill,Kangana Ranaut,2020,Ashwiny Iyer Tiwari
13,Ludo,Rajkumar Rao,Fatima Sana Sheikh,2020,Anurag Basu
14,Airlift,Akshay Kumar,Nimrat Kaur,2016,Raja Krishnan Menon
15,Shershaah,Shiddhart Malhotra ,Kiara Advani,2021,Vishnuvardhan
